x,y
-5.381944589,11.90972235
-5.381944589,11.56250015
-5.034722388,12.25694455
-5.034722388,12.60416675
-5.381944589,12.60416675
-5.381944589,12.25694455
-4.340277985,11.56250015
-4.340277985,11.90972235
-4.687500186,11.90972235
-4.687500186,11.56250015
-4.340277985,12.25694455
-4.340277985,12.60416675
-4.687500186,12.60416675
-4.687500186,12.25694455
-3.645833582,10.17361134
-3.645833582,10.52083354
-3.993055783,10.52083354
-3.993055783,10.17361134
-3.645833582,10.86805575
-3.645833582,11.21527795
-3.993055783,11.21527795
-3.993055783,10.86805575
-2.951389179,10.17361134
-2.951389179,10.52083354
-3.29861138,10.52083354
-3.29861138,10.17361134
-2.951389179,10.86805575
-2.951389179,11.21527795
-3.29861138,11.21527795
-3.29861138,10.86805575
-3.645833582,11.56250015
-3.645833582,11.90972235
-3.993055783,11.90972235
-3.993055783,11.56250015
-3.645833582,12.25694455
-3.645833582,12.60416675
-3.993055783,12.60416675
-3.993055783,12.25694455
-2.951389179,11.56250015
-2.951389179,11.90972235
-3.29861138,11.90972235
-3.29861138,11.56250015
-2.951389179,12.25694455
-2.951389179,12.60416675
-3.29861138,12.60416675
-3.29861138,12.25694455
-5.034722388,12.95138896
-5.034722388,13.29861116
-5.381944589,13.29861116
-5.381944589,12.95138896
-5.034722388,13.64583336
-5.034722388,13.99305556
-5.381944589,13.99305556
-5.381944589,13.64583336
-4.340277985,12.95138896
-4.340277985,13.29861116
-4.687500186,13.29861116
-4.687500186,12.95138896
-4.340277985,13.64583336
-4.340277985,13.99305556
-4.687500186,13.99305556
-4.687500186,13.64583336
-5.034722388,14.34027776
-5.034722388,14.68749996
-5.381944589,14.68749996
-5.381944589,14.34027776
-5.034722388,15.03472123
-5.034722388,15.38194437
-5.381944589,15.38194437
-5.381944589,15.03472123
-4.340277985,14.34027776
-4.340277985,14.68749996
-4.687500186,14.68749996
-4.687500186,14.34027776
-4.340277985,15.03472123
-4.340277985,15.38194437
-4.687500186,15.38194437
-4.687500186,15.03472123
-3.645833582,12.95138896
-3.645833582,13.29861116
-3.993055783,13.29861116
-3.993055783,12.95138896
-3.645833582,13.64583336
-3.645833582,13.99305556
-3.993055783,13.99305556
-3.993055783,13.64583336
-2.951389179,12.95138896
-2.951389179,13.29861116
-3.29861138,13.29861116
-3.29861138,12.95138896
-2.951389179,13.64583336
-2.951389179,13.99305556
-3.29861138,13.99305556
-3.29861138,13.64583336
-3.645833582,14.34027776
-3.645833582,14.68749996
-3.993055783,14.68749996
-3.993055783,14.34027776
-3.645833582,15.03472123
-3.645833582,15.38194437
-3.993055783,15.38194437
-3.993055783,15.03472123
-2.951389179,14.34027776
-2.951389179,14.68749996
-3.29861138,14.68749996
-3.29861138,14.34027776
-2.951389179,15.03472123
-2.951389179,15.38194437
-3.29861138,15.38194437
-3.29861138,15.03472123
-2.256944776,10.17361134
-2.256944776,10.52083354
-2.604166977,10.52083354
-2.604166977,10.17361134
-2.256944776,10.86805575
-2.256944776,11.21527795
-2.604166977,11.21527795
-2.604166977,10.86805575
-1.562500373,10.17361134
-1.562500373,10.52083354
-1.909722574,10.52083354
-1.909722574,10.17361134
-1.562500373,10.86805575
-1.562500373,11.21527795
-1.909722574,11.21527795
-1.909722574,10.86805575
-2.256944776,11.56250015
-2.256944776,11.90972235
-2.604166977,11.90972235
-2.604166977,11.56250015
-2.256944776,12.25694455
-2.256944776,12.60416675
-2.604166977,12.60416675
-2.604166977,12.25694455
-1.562500373,11.56250015
-1.562500373,11.90972235
-1.909722574,11.90972235
-1.909722574,11.56250015
-1.562500373,12.25694455
-1.562500373,12.60416675
-1.909722574,12.60416675
-1.909722574,12.25694455
-0.868055969,10.17361134
-0.868055969,10.52083354
-1.215278171,10.52083354
-1.215278171,10.17361134
-0.868055969,10.86805575
-0.868055969,11.21527795
-1.215278171,11.21527795
-1.215278171,10.86805575
-0.173611566,10.17361134
-0.173611566,10.52083354
-0.520833768,10.52083354
-0.520833768,10.17361134
-0.173611566,10.86805575
-0.173611566,11.21527795
-0.520833768,11.21527795
